id,genre,track_name,artist_name,valence,energy,mood_vec,distances
5Kbn22ECwQ3VT2YBDRpnR5,k-pop,Ryu's Reffusal,부부(Booboo),0.479,0.992,"[0.479, 0.992]",0.5068846022518341
6DmjdFSnP6asXWXTjkEhCP,k-pop,HIGH HIGH,GD&TOP,0.561,0.864,"[0.561, 0.864]",0.37704111181673544
0FGqeMVeFGzRsWStJWiP6F,k-pop,Something Special (Inst.),박혜경 (Hye Kyung Park),0.372,0.257,"[0.372, 0.257]",0.28157059505566273
7hTWnGcFSlDWwrOe6z3Ohb,k-pop,Attack Of The Spiderwoman,Molly Maguires,0.872,0.89,"[0.872, 0.89]",0.5258564442887431
6DItxWJi5LZu9gTTgEkqkP,k-pop,사랑을 부르다,더더 밴드(TheThE Band),0.0949,0.515,"[0.0949, 0.515]",0.4389312132897364
7kXDIqwzJlmJSk4AvIji6r,k-pop,The Tide (밀물) [Scratch by DJ Friz],Tablo,0.739,0.788,"[0.739, 0.788]",0.36391757308489514
7jc0Tce6FJAElTPJ7nruoB,k-pop,결,김태성,0.495,0.285,"[0.495, 0.285]",0.20652602741543258
6qvhkKa5FNwPvNq7Vmqznc,k-pop,River Flows In You,Yiruma,0.107,0.247,"[0.107, 0.247]",0.4894456047407107
3z33a2AvtL5lBX5bcgQhay,k-pop,Tonight,BIGBANG,0.307,0.903,"[0.307, 0.903]",0.472547352124631
2aUvAhk3yT5XoBlGZcgiqJ,k-pop,불행했음 좋겠다 (feat. Bee Of Rphabet),San E,0.649,0.844,"[0.649, 0.844]",0.37442222156276994
5WpdFzR2xDEP4Ak3GKetZl,k-pop,Know Your Name,Jay Park,0.7,0.818,"[0.7, 0.818]",0.36984996958226174
0WcUJ40Z5FpAWkR3cfNpCW,k-pop,Marry Me,Yoon Han,0.144,0.472,"[0.144, 0.472]",0.38932890979222184
0IOMWTzPTPofose3MHcRls,k-pop,사랑이라 말할 수 있는 것,JOYjin(조이진),0.0773,0.133,"[0.0773, 0.133]",0.577656896435938
7dcpMt4c2PIERCzV2zUD1T,k-pop,Stay (머물러요),Baek A Yeon,0.276,0.57,"[0.276, 0.57]",0.26976471229573373
58TeoU1db8bEE8P0YkEEF7,k-pop,Chug Chug (Feat. D. Theo of Soul Dive),UMC/UW,0.616,0.95,"[0.616, 0.95]",0.46939642094928674
7Iv6uwJvJfANzzagIhBxU3,k-pop,기억하지 않으려 한다..,에반,0.321,0.564,"[0.321, 0.564]",0.225211012164148
5CaFore8Phz3TQPmpntwSN,k-pop,2HOT,G.NA,0.874,0.915,"[0.874, 0.915]",0.5464521937004189
5CNUrNLvTiHqXus3XGzCVz,k-pop,My J,Girls' Generation,0.864,0.853,"[0.864, 0.853]",0.492733193523635
6X4tYeKHmqTcCYA59FDI4f,k-pop,잘자요 그대,Lena Park,0.174,0.577,"[0.174, 0.577]",0.3698675438586089
0rxTdnLpq3elpMSHYI8nhO,k-pop,When The Love Falls,Yiruma,0.33,0.191,"[0.33, 0.191]",0.35974713341456943
4Ad9UBsh1ZZEurXwNM1clT,k-pop,"Yes, It Is!!",V.A,0.879,0.724,"[0.879, 0.724]",0.4188221579620639
25b5YfUEC785nlZO0wPl22,k-pop,What Can I Do (어쩌라고),BIGBANG,0.602,0.945,"[0.602, 0.945]",0.4621796187630951
3QAJGwD1a1m6DuWYMCXd7N,k-pop,Nine Angels - Live,Girls' Generation,0.141,0.969,"[0.141, 0.969]",0.6205038275466156
467ZFgnPyqTxpxdCt1SYwO,k-pop,Paris,Yoon Han,0.133,0.137,"[0.133, 0.137]",0.5321663273827084
18oGpZaSkQrcClLCcYg5Fq,k-pop,빠라빠빠 (MR),Park Hyun-Bin,0.966,0.902,"[0.966, 0.902]",0.5990701127580979
4sNIoV6ZB7st1JnjxMNDfv,k-pop,Im Turning It Over To You,Steve Lamount Harrold,0.263,0.382,"[0.263, 0.382]",0.29006206232459975
2lZTvG1mmHeRruQrM7BH5f,k-pop,RARARA,부부(Booboo),0.535,0.756,"[0.535, 0.756]",0.26800746258266767
3SUqy9jCirNsR6J2MGFWzB,k-pop,Boom Di Boom Di - Instrumental,SKULL,0.615,0.785,"[0.615, 0.785]",0.308111992626058
3eoBExgavjh0vL2hdO3cWy,k-pop,Still Alive,BIGBANG,0.652,0.929,"[0.652, 0.929]",0.45677346683011266
1Zlz0JpMXf0DF9C8oRDI6l,k-pop,Summer Dream Intro,V.A,0.263,0.778,"[0.263, 0.778]",0.396232255123179
3s73EEL17rTB6Y0mYlhrIl,k-pop,달그림자 (Inst.),김태성,0.133,0.2,"[0.133, 0.2]",0.49289349762397966
1trNxSGrjJq51TfYmiRsYA,k-pop,Tout Contre Moi (Right Here),Pudditorium,0.492,0.388,"[0.492, 0.388]",0.10807867504739313
38ieVc88O6Wznw3NxXhE78,k-pop,You Got Me,STi,0.582,0.556,"[0.582, 0.556]",0.08381527307120105
5NYazLwHVmcz2N1OnNNbpo,k-pop,네가 없어도,The ForM Project,0.533,0.546,"[0.533, 0.546]",0.05800000000000005
0kKpZdZb6q8Zq1gdybGCf7,k-pop,Sky,Yiruma,0.332,0.131,"[0.332, 0.131]",0.4096950085124299
3pRBB1XdQruTRXLJaX2Er7,k-pop,I'm,부부(Booboo),0.438,0.702,"[0.438, 0.702]",0.23413884769512297
66P1OXbpaQYFJiiYY1u1tW,k-pop,BABY GOOD NIGHT,GD&TOP,0.323,0.679,"[0.323, 0.679]",0.2838679270365006
6MYgJtV9IU4QTYOdhKinnD,k-pop,애인 있어요 (원곡 가수 이은미),샘 카터,0.172,0.406,"[0.172, 0.406]",0.37019589408852177
1FzFvaAsZu5pf6OzP0BGWm,k-pop,Fire,2NE1,0.0,0.0,"[0.0, 0.0]",0.7226569033780831
35JrJeev0nasTLz3wChKtT,k-pop,우리 결혼까지 하자 (inst.),5tion,0.248,0.751,"[0.248, 0.751]",0.38780665285680704
27BHS8DfIOArDAghqQBG1x,k-pop,인연(因緣),Pudditorium,0.306,0.362,"[0.306, 0.362]",0.25962472917655594
4Sn1KnFD4nLY23wzaC1zsg,k-pop,탈,김태성,0.0369,0.0755,"[0.0369, 0.0755]",0.6451910259760283
60RKWBHuOTbKE32y7Pgv6m,k-pop,가슴이 하는 말,V.A,0.254,0.561,"[0.254, 0.561]",0.2883920942050944
68v52Se6fc9gGwjwUUSile,k-pop,Telepathy,Girls' Generation,0.741,0.901,"[0.741, 0.901]",0.46242080403026853
1Qfky72T3fnnBxmpEQ1tlj,k-pop,Without You (니가없이) (MR),Bom,0.148,0.429,"[0.148, 0.429]",0.3894945442493386
1nGbiUc2lr5SOVp6guPsbe,k-pop,Because I Love You-사랑하기 때문에,Yiruma,0.101,0.17,"[0.101, 0.17]",0.5364214760801436
4Z8usgSdQ0tuPjp5GDTzVG,k-pop,Boom Di Boom Di - Mike Cip Album mix,SKULL,0.626,0.852,"[0.626, 0.852]",0.3756926935674954
6DOTDn1Xaevmd1omsx5bH5,k-pop,차마..,Doz,0.788,0.733,"[0.788, 0.733]",0.35362409420173846
4s5ctbQSdw859e9ozID4Hb,k-pop,떠나간다,Hwaii,0.516,0.197,"[0.516, 0.197]",0.2914961406262525
72xrBrknKqsGsIpI4ttwIx,k-pop,Somebody Else,SE7EN,0.358,0.879,"[0.358, 0.879]",0.42837600306272994
0g5eTIBrg6YqMvLeQEgd8z,k-pop,알잖아 내 맘,V.A,0.234,0.485,"[0.234, 0.485]",0.29901504978846805
3Y8ZEFyDomHQ0rMgz90cy5,k-pop,웃어도 웃어도(Inst.),BYUL,0.243,0.178,"[0.243, 0.178]",0.4244997055358225
7toDG9fohnjU2y2tbg9teG,k-pop,회상,V.A,0.737,0.762,"[0.737, 0.762]",0.34160210772183475
70KCLkOz3p2iRe6Zs9YVnW,k-pop,벨이 울리면,lalasweet,0.162,0.361,"[0.162, 0.361]",0.39213518077316145
6rk3wcZdX2HwAjC0PHeOQw,k-pop,Trace (출처) [Scratch By DJ Tukutz],Tablo,0.388,0.793,"[0.388, 0.793]",0.3377128958153657
45YZGg3GNm46qfh1SpOoQO,k-pop,The Boys - Clinton Sparks & Disco Fries Remix,Girls' Generation,0.769,0.821,"[0.769, 0.821]",0.4081482573771447
5x5riZjHxFm9JYtda1vBJh,k-pop,Little Red Mushroom Chair,Molly Maguires,0.355,0.971,"[0.355, 0.971]",0.5147552816630443
3ix4VRVEZSpLAAwqDc2neU,k-pop,Abril (April),Pudditorium,0.26,0.228,"[0.26, 0.228]",0.377
24e3JyWXGBDoI3yWiHFceQ,k-pop,놀자병,Hwaii,0.611,0.278,"[0.611, 0.278]",0.2240178564311336
1rrbEwmNdeGD0aoB4ULYhZ,k-pop,Kiss (Dara),2NE1,0.559,0.867,"[0.559, 0.867]",0.3798907737758315
5p26GWVDbxAyDIQl58Shaz,k-pop,애교,김태성,0.0561,0.268,"[0.0561, 0.268]",0.5251986386120969
7dubssqTZ92HzRAEUSIEpF,k-pop,The Senior (老將),BILL STAX,0.194,0.673,"[0.194, 0.673]",0.3861942516402853
3cOoVzcIFla7bxBPPWEDUj,k-pop,Tears On Love,Yiruma,0.219,0.149,"[0.219, 0.149]",0.46207899757508997
7Afts5sVYt9oeQZNjrIojK,k-pop,Dancing Queen,Girls' Generation,0.961,0.916,"[0.961, 0.916]",0.6052834046956848
3Mici8BavxhyR0y0CXFPBN,k-pop,Bad Boy,BIGBANG,0.397,0.764,"[0.397, 0.764]",0.30768815381811504
1C8ta7fQuZURekm6WtYxDd,k-pop,꽃,Hwaii,0.483,0.271,"[0.483, 0.271]",0.22268587741480148
4mrObQ7T8P7gndEHlqTl6f,k-pop,연애의 온도,V.A,0.172,0.133,"[0.172, 0.133]",0.5063062314449626
